id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239493,Space Chaser,Xenomorph,Dead Sun Rising,"",2016,Rock/Metal/Heavy Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
456239455,Ion Dissonance,The Death of One Man is a Tragedy The Death of 10 000 is a Statistic,Breathing Is Irrelevant,Male/Male Group,2010,Alternative a Punk/Emo a Hardcore/Hardcore,Aggressive/Aggressive Power,Fast Tempo/Fast/150s
456239445,Hypocrisy,Valley Of The Damned,A Taste Of Extreme Divinity,Male/Male Group,2009,Rock/Metal/Death Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
456239425,Hermano,Our Desert Home,... Into the Exam Room,Male/Male Group,2007,Rock/Hard Rock/Stoner Rock,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
456239422,Louna,1.9.8.4.,The Best of,Mixed/Mixed Group,2015,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
456239328,Therion,Ginnungagap (Prologue),Live In Midgård [Disc 1],Mixed/Mixed Group,2002,Rock/Metal/Progressive Metal,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
456239318,Elevator To Hell,Roger And The Hair (Album),Parts 1-3,Mixed/Mixed Group,2008,Alternative a Punk/Indie Rock/General Indie Rock,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
456239316,Elevator To Hell,Roger And The Hair (Album),Parts 1-3,Mixed/Mixed Group,2008,Alternative a Punk/Indie Rock/General Indie Rock,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
456239279,Sepultura,Refuse/Resist,Chaos A.D.,Male/Male Group,1993,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
456239129,Otep,Possession,Sevas Tra,Mixed/Mixed Group,2002,Rock/Metal/Nu-Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
456239100,Stahlmann,Der Schmied,Adamant,Male/Male Group,2013,Rock/Metal/Industrial Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Slow/60s
456239095,Ost+Front,Ich liebe es,Ave Maria,"",2012,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
456239068,Enemy Soil,"Self Gratification (Fractured Theology 3"" CD version)",Smashes The State! [Disc 2],Male/Male Group,2009,Rock/Metal/Grindcore,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
433273366,Vicious Crusade,Messiah… Isn't It Me?,Forbidden Tunes,Mixed/Mixed Group,2002,Rock/Metal/Black Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/100s
424407050,Machine Head,Imperium,Through The Ashes Of Empires,Male/Male Group,2003,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/120s
423940895,Umbra et Imago,Mach was,Memento Mori,Male/Male Group,2004,Alternative a Punk/Goth/Goth,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
423906428,Umbra et Imago,Sweet Gwendoline,Memento Mori,Male/Male Group,2004,Alternative a Punk/Goth/Goth,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
422672142,Parkway Drive,Old Ghost / New Regrets,Atlas,Male/Male Group,2012,Alternative a Punk/Emo a Hardcore/Hardcore,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
421870689,Kyuss,Green Machine,Blues For the Red Sun,Male/Male Group,1992,Rock/Metal/Doom Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
