id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
434397391,Peter Schilling,Major Tom (völlig losgelöst),Retrospektive,Male/Male,2012,Alternative a Punk/New Wave Pop/New Wave Pop,Excited/Euphoric Energy,Fast Tempo/Fast/140s
384907580,a-ha,Stop! And Make Your Mind Up,Hunting High And Low [Disc 2],Male/Male Group,1985,Alternative a Punk/New Wave Pop/New Wave Pop,Stirring/Jubilant / Soulful,Medium Tempo/Medium/70s
383019610,a-ha,Summer Moved On,Minor Earth Major Sky,Male/Male Group,2000,Alternative a Punk/New Wave Pop/New Wave Pop,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/60s
349308272,a-ha,Take On Me,Hunting High a Low,Male/Male Group,1985,Alternative a Punk/New Wave Pop/New Wave Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium/80s
273986516,Device,Recover,Device - Extended Edition,Mixed/Mixed Group,2013,Alternative a Punk/New Wave Pop/New Wave Pop,"",""
202653505,INXS,Beautiful Girl,Welcome To Wherever You Are,Male/Male Group,1992,Alternative a Punk/New Wave Pop/New Wave Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/120s
193523540,Talking Heads,Give Me Back My Name,Little Creatures,Mixed/Mixed Group,1985,Alternative a Punk/New Wave Pop/New Wave Pop,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/110s
182357082,Andy Partridge,I Don't Want To Be Here [Aids Benefit Version],Fuzzy Warbles Vol. 2,Male/Male,2002,Alternative a Punk/New Wave Pop/New Wave Pop,Sensual/Soft Soulful,Slow Tempo/Slow/40s
118734982,a-ha,Analogue,Analogue,Male/Male Group,2005,Alternative a Punk/New Wave Pop/New Wave Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
118734960,a-ha,Butterfly Butterfly (The Last Hurrah),25 [Disc 2],Male/Male Group,2010,Alternative a Punk/New Wave Pop/New Wave Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
118734923,a-ha,Lifelines,Lifelines,Male/Male Group,2002,Alternative a Punk/New Wave Pop/New Wave Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
118734910,a-ha,Velvet,Minor Earth Major Sky,Male/Male Group,2000,Alternative a Punk/New Wave Pop/New Wave Pop,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
118734893,a-ha,Summer Moved On,Minor Earth Major Sky,Male/Male Group,2000,Alternative a Punk/New Wave Pop/New Wave Pop,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/60s
118734876,a-ha,Take On Me,Hunting High a Low,Male/Male Group,1985,Alternative a Punk/New Wave Pop/New Wave Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium/80s
118734863,a-ha,Crying In The Rain,East Of The Sun West Of The Moon,Male/Male Group,1990,Alternative a Punk/New Wave Pop/New Wave Pop,Empowering/Idealistic / Stirring,Medium Tempo/Medium Fast/90s
118734702,a-ha,Forever Not Yours,Lifelines,Male/Male Group,2002,Alternative a Punk/New Wave Pop/New Wave Pop,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
118552728,a-ha,Forever Not Yours,Lifelines,Male/Male Group,2002,Alternative a Punk/New Wave Pop/New Wave Pop,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
