id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239298,Shadowdream,The Sunsettler's Theme,The Sunsettler's Motel,"",2016,Jazz/Bebop a Modern Jazz/Modern Jazz,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/60s
420745888,José González,Crosses (Howell a Norman Remix),Crosses,Male/Male,2014,Jazz/Latin a World Jazz/Latin Jazz,"",""
412128534,John Surman,Whistman's Wood,Saltash Bells,Male/Male,2012,Jazz/Bebop a Modern Jazz/Avant Garde,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
412127204,The Miles Davis Quintet,It Never Entered My Mind,Workin' With The Miles Davis Quintet,Male/Male Group,1959,Jazz/Bebop a Modern Jazz/Cool Jazz,Sentimental/Lyrical Sentimental,Medium Tempo/Medium Slow/50s
403823659,Caro Emerald,The Lipstick On His Collar,Deleted Scenes From The Cutting Room Floor,Female/Female,2010,Jazz/Jazz Vocals/Jazz Vocals,Cool/Dark Groovy,Medium Tempo/Medium Fast/110s
403158840,Spring Heel Jack,Autumn,The Sweetness Of The Water,Male/Male Duo,2004,Jazz/Bebop a Modern Jazz/Avant Garde,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
371744142,Caro Emerald,The Other Woman,Deleted Scenes From The Cutting Room Floor,Female/Female,2010,Jazz/Jazz Vocals/Jazz Vocals,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
367266321,АукцЫон,Что-нибудь такое,Лучшее,Male/Male Group,2008,Jazz/Bebop a Modern Jazz/Avant Garde,Fiery/Passionate Rhythm,Medium Tempo/Medium/70s
361591288,Shawn Lee's Ping Pong Orchestra,Kiss The Sky,Voices and Choices,Male/Male Group,2006,Jazz/Contemporary Jazz a Fusion/Jazz Funk,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
361423836,АукцЫон,Все Вертится,Птица,Male/Male Group,1993,Jazz/Bebop a Modern Jazz/Avant Garde,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
361215972,АукцЫон,Моя Любовь,Птица,Male/Male Group,1993,Jazz/Bebop a Modern Jazz/Avant Garde,Rowdy/Confident / Tough,Medium Tempo/Medium/70s
361245134,АукцЫон,Седьмой,Птица,Male/Male Group,1993,Jazz/Bebop a Modern Jazz/Avant Garde,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/110s
361242422,АукцЫон,День победы,Grand Collection,Male/Male Group,0,Jazz/Bebop a Modern Jazz/Avant Garde,Cool/Dark Groovy,Medium Tempo/Medium Fast/120s
361224920,АукцЫон,Глаза,Птица,Male/Male Group,1993,Jazz/Bebop a Modern Jazz/Avant Garde,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
193791451,The Dave Brubeck Quartet,Take Five,Time Out,Male/Male Group,1959,Jazz/Bebop a Modern Jazz/Cool Jazz,Sentimental/Cool Melancholy,Medium Tempo/Medium/80s
181236654,Ella Fitzgerald,Sunshine Of Your Love,Sunshine Of Your Love [Live],Female/Female,1969,Jazz/Jazz Vocals/Jazz Vocals,Sophisticated/Suave / Sultry,Medium Tempo/Medium Slow/50s
173153957,АукцЫон,Птица,Птица,Male/Male Group,1993,Jazz/Bebop a Modern Jazz/Avant Garde,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/100s
162397525,Louis Armstrong,A Kiss To Build A Dream On,All-Time Greatest Hits,Male/Male,1994,Jazz/Early Jazz/New Orleans Jazz,Sophisticated/Suave / Sultry,Slow Tempo/Slow/40s
76066452,Сергей Курехин,Донна Анна (Часть 1),Опера Богатых,Male/Male,1992,Jazz/Bebop a Modern Jazz/Avant Garde,"",""
