id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
226843998,Гевал,Готика,Longin,"",2012,Alternative a Punk/Industrial/Industrial,"",""
456239176,Blutengel,Weg Zu Mir,Child Of Glass,Mixed/Mixed Group,1999,Alternative a Punk/Industrial/Industrial,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
456239175,Johnny Hollow,Devil's Night,Devil's Night EP,"",0,Alternative a Punk/Industrial/Industrial,"",""
456239089,Unter Null,Endtime (Inure Mix),Sacrament,Female/Female,2006,Alternative a Punk/Industrial/Industrial,Energizing/Heavy Beat,Fast Tempo/Fast/130s
436497127,Von Thronstahl,Adoration To Europa,Vivus Romae [Disc 1],"",2007,Alternative a Punk/Industrial/Industrial,"",""
436510185,Von Thronstahl,Königs-Söhne/Sterntaler,Corona Imperiales,"",2012,Alternative a Punk/Industrial/Industrial,Brooding/Alienated / Brooding,Medium Tempo/Medium/80s
436506372,Von Thronstahl,Heimwärts Wir Fahren,Corona Imperiales,"",2012,Alternative a Punk/Industrial/Industrial,Brooding/Alienated / Brooding,Medium Tempo/Medium/80s
435460837,Weena Morloch,Fall Apart,Grüß Gott wir sind die Morlochs,Mixed/Mixed Group,2015,Alternative a Punk/Industrial/Industrial,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
424439985,Ministry,Revenge,With Sympathy,Male/Male Group,1983,Alternative a Punk/Industrial/Industrial,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
424403936,Triarii,Solemn Vigil,Exile,"",2012,Alternative a Punk/Industrial/Industrial,Serious/Thrilling,Medium Tempo/Medium Slow/60s
424403934,Triarii,Emperor Of The Sun,Exile,"",2012,Alternative a Punk/Industrial/Industrial,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
423900249,Triarii,Regicide II,Ars Militaria,"",2005,Alternative a Punk/Industrial/Industrial,Brooding/Alienated / Brooding,Medium Tempo/Medium Slow/60s
420189688,Laibach,No History,Spectre,Male/Male Group,2014,Alternative a Punk/Industrial/Industrial,"",""
420188523,Laibach,Eurovision,Spectre,Male/Male Group,2014,Alternative a Punk/Industrial/Industrial,"",""
420187840,Laibach,Anglia,Volk,Male/Male Group,2006,Alternative a Punk/Industrial/Industrial,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
400510212,Stillste Stund,Mühle Mahlt,Ursprung Paradoxon,Mixed/Mixed Duo,2006,Alternative a Punk/Industrial/Industrial,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/100s
385305002,[:SITD:],Venom,Stronghold,Male/Male Group,2004,Alternative a Punk/Industrial/Industrial,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
384684090,Stillste Stund,Unter Kreuzen,Ursprung Paradoxon,Mixed/Mixed Duo,2006,Alternative a Punk/Industrial/Industrial,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/110s
384681505,Stillste Stund,Wir Sind Energie,Ursprung Paradoxon,Mixed/Mixed Duo,2006,Alternative a Punk/Industrial/Industrial,Defiant/Attitude / Defiant,Medium Tempo/Medium Slow/50s
379277625,Nine Inch Nails,We're In This Together,The Fragile (Left) [Disc 1],Male/Male,1999,Alternative a Punk/Industrial/Industrial,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239397,Гевал,Волки,Longin,"",2012,Alternative a Punk/Industrial/Industrial,"",""
364031841,Ministry,"No ""W""",Houses Of The Mole',Male/Male Group,2004,Alternative a Punk/Industrial/Industrial,Urgent/Dark Pop,Medium Tempo/Medium Fast/90s
364036269,Ministry,Psalm 69,ΚΕΦΑΛΗΞΘ,Male/Male Group,1992,Alternative a Punk/Industrial/Industrial,Aggressive/Aggressive Power,Medium Tempo/Medium/70s
364030338,Ministry,Rio Grande Blood,Rio Grande Blood,Male/Male Group,2006,Alternative a Punk/Industrial/Industrial,Aggressive/Chaotic / Intense,Medium Tempo/Medium Fast/100s
358061121,Various Artists,Own Little World (Remorse Code Remix),The Hills Have Eyes 2 (The Album),Male/Male,2010,Alternative a Punk/Industrial/Industrial,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
349684777,Lustmord,The Eliminating Angel,Metavoid,Male/Male,2001,Alternative a Punk/Industrial/Industrial,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/60s
349542847,Lustmord,Blood Deep In Dread,Metavoid,Male/Male,2001,Alternative a Punk/Industrial/Industrial,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
293245117,Evils Toy,Inside Out,Silvertears,Male/Male Duo,2000,Alternative a Punk/Industrial/Industrial,Gritty/Sober / Determined,Medium Tempo/Medium/70s
293239175,Death In June,Holy Water,The Guilty Have No Pride,Male/Male Group,1983,Alternative a Punk/Industrial/Industrial,Defiant/Heavy Brooding,Medium Tempo/Medium/60s
283958147,Blutengel,Ordinary Darkness,Tränenherz,Mixed/Mixed Group,2011,Alternative a Punk/Industrial/Industrial,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
272086453,Nine Inch Nails,Closer,The Downward Spiral,Male/Male,1994,Alternative a Punk/Industrial/Industrial,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
270142226,Girls Under Glass,Lucky,Flowers,Male/Male Group,2013,Alternative a Punk/Industrial/Industrial,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/120s
267732508,Funker Vogt,Vorwarts,Navigator,Male/Male Group,2005,Alternative a Punk/Industrial/Industrial,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
266062147,Von Thronstahl,Von Thronstahl - Let The World With The Sun Go Down,Germanium Metallicum,"",2009,Alternative a Punk/Industrial/Industrial,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/60s
265774358,Von Thronstahl,Regnum Super-Regnum,Corona Imperiales,"",2012,Alternative a Punk/Industrial/Industrial,Brooding/Alienated / Brooding,Fast Tempo/Fast/130s
260958990,Sister Machine Gun,Torque,Metropolis,Male/Male Group,1997,Alternative a Punk/Industrial/Industrial,Aggressive/Aggressive Power,Medium Tempo/Medium/70s
260957644,Sister Machine Gun,Everything,Metropolis,Male/Male Group,1997,Alternative a Punk/Industrial/Industrial,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
