id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239524,Brant Bjork,Luvin',Tao Of The Devil,Male/Male,2016,Rock/Hard Rock/Stoner Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/110s
456239425,Hermano,Our Desert Home,... Into the Exam Room,Male/Male Group,2007,Rock/Hard Rock/Stoner Rock,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
456239222,Electric Citizen,Evil,Higher Time,Mixed/Mixed Group,2016,Rock/Hard Rock/Stoner Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
456239103,White Miles,A(n) Garde,The Duel (+ Commentary),Mixed/Mixed Duo,2016,Rock/Hard Rock/General Hard Rock,Aggressive/Heavy Triumphant,Fast Tempo/Fast/160s
456239091,White Miles,A Good Pennyworth,The Duel (+ Commentary),Mixed/Mixed Duo,2016,Rock/Hard Rock/General Hard Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239090,White Miles,Crazy Horse,The Duel (+ Commentary),Mixed/Mixed Duo,2016,Rock/Hard Rock/General Hard Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Slow/60s
442094054,Richie Sambora,Burn That Candle Down,Aftermath of the Lowdown,Male/Male,2012,Rock/Hard Rock/General Hard Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
440714370,True Widow,Four Teeth,Circumambulation,Mixed/Mixed Group,2013,Rock/Hard Rock/Stoner Rock,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
418390083,Monster Magnet,On The Verge,Monolithic Baby!,Male/Male Group,2004,Rock/Hard Rock/Stoner Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
418381853,WWF,Live For The Moment (Matt Hardy's Theme),Forceable Entry,Male/Male Group,2002,Rock/Hard Rock/Stoner Rock,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/200s
418380522,Monster Magnet,19 Witches,Powertrip,Male/Male Group,1998,Rock/Hard Rock/Stoner Rock,Brooding/Alienated / Brooding,Fast Tempo/Fast/140s
418376693,Monster Magnet,Dopes To Infinity,Dopes To Infinity,Male/Male Group,1995,Rock/Hard Rock/Stoner Rock,Aggressive/Aggressive Power,Fast Tempo/Fast/130s
418367583,Monster Magnet,Radiation Day,Monolithic Baby!,Male/Male Group,2004,Rock/Hard Rock/Stoner Rock,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
418283280,Monster Magnet,Space Lord,Powertrip,Male/Male Group,1998,Rock/Hard Rock/Stoner Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
416293932,Van Halen,Atomic Punk,Van Halen,Male/Male Group,1978,Rock/Hard Rock/General Hard Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
415868765,Valkyrie,Shadow of Reality,Shadows,Male/Male Group,2015,Rock/Hard Rock/Stoner Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
415864570,Valkyrie,Mountain Stomp,Shadows,Male/Male Group,2015,Rock/Hard Rock/Stoner Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
411543965,Red Fang,Prehistoric Dog,Red Fang,Male/Male Group,2009,Rock/Hard Rock/Stoner Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
401015400,All Them Witches,When God Comes Back,Lightning at the Door,Male/Male Group,2014,Rock/Hard Rock/Stoner Rock,Defiant/Hard Dark Excitement,Fast Tempo/Fast/150s
400890485,All Them Witches,Right Hand,Our Mother Electricity,Male/Male Group,2012,Rock/Hard Rock/Stoner Rock,Brooding/Alienated / Brooding,Fast Tempo/Fast/130s
379215606,Wolfmother,White Unicorn,Wolfmother,Male/Male Group,2006,Rock/Hard Rock/Stoner Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
371753582,Queens Of The Stone Age,Avon,Queens Of The Stone Age,Male/Male Group,1998,Rock/Hard Rock/Stoner Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
371753572,Queens Of The Stone Age,Regular John,Queens Of The Stone Age,Male/Male Group,1998,Rock/Hard Rock/Stoner Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium/70s
371753537,Queens Of The Stone Age,If Only,Queens Of The Stone Age,Male/Male Group,1998,Rock/Hard Rock/Stoner Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
363911152,Kingdom Come,Silhouette Paintings,Perpetual,Male/Male Group,2008,Rock/Hard Rock/General Hard Rock,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
363910602,Kingdom Come,What Love Can Be,Kingdom Come,Male/Male Group,1988,Rock/Hard Rock/General Hard Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/60s
363909320,Kingdom Come,Janine,Twilight Cruiser,Male/Male Group,1995,Rock/Hard Rock/General Hard Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
359028056,Queens Of The Stone Age,A Song For The Dead,Songs For The Deaf,Male/Male Group,2002,Rock/Hard Rock/Stoner Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/100s
359018820,Queens Of The Stone Age,Everybody Knows That You Are Insane,Lullabies To Paralyze,Male/Male Group,2005,Rock/Hard Rock/Stoner Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
251154387,Queens Of The Stone Age,Mosquito Song,Songs For The Deaf,Male/Male Group,2002,Rock/Hard Rock/Stoner Rock,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
230185963,Pretty Maids,I See Ghosts,Motherland,Male/Male Group,2013,Rock/Hard Rock/General Hard Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
230184202,Pretty Maids,Confession,Motherland,Male/Male Group,2013,Rock/Hard Rock/General Hard Rock,Melancholy/Mysterious / Dreamy,Medium Tempo/Medium/70s
195720145,Оргия праведников,Весна,Оглашенные изыйдите,"",2002,Rock/Hard Rock/General Hard Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/100s
193140668,The Boondock Saints,Rock a Roll Wardrobe,The Boondock saints,Male/Male Group,2001,Rock/Hard Rock/General Hard Rock,"",""
186396174,Оргия праведников,Восхождение чёрной луны,Оглашенные изыйдите,"",2002,Rock/Hard Rock/General Hard Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
168477474,Scorpions,No Pain No Gain,Face The Heat,Male/Male Group,1993,Rock/Hard Rock/General Hard Rock,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
166602497,AC/DC,T.N.T.,AC/DC Live,Male/Male Group,1992,Rock/Hard Rock/General Hard Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
