id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239526,Вика Цыганова,Русская Водка,Русская Водка,Female/Female,2002,Pop/European Pop/Eastern European Pop,Urgent/Dark Urgent,Medium Tempo/Medium Fast/120s
456239258,Alina Orlova,Lijo,Дикая Собака Динго,Female/Female,2008,Pop/European Pop/Eastern European Pop,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239257,Alina Orlova,Sailor,88,Female/Female,2015,Pop/European Pop/Eastern European Pop,"",""
456239027,Alina Orlova,Day,88,Female/Female,2015,Pop/European Pop/Eastern European Pop,"",""
456239026,Alina Orlova,Spindulelis,88,Female/Female,2015,Pop/European Pop/Eastern European Pop,"",""
456239025,Alina Orlova,Lovesong,Дикая Собака Динго,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/70s
456239024,Alina Orlova,Lovesong,Дикая Собака Динго,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/70s
456239023,Alina Orlova,Neramios Mergaitės Daina (Live),LRT Opus Live,Female/Female,2013,Pop/European Pop/Eastern European Pop,Sophisticated/Intimate Bittersweet,Medium Tempo/Medium Slow/50s
439294788,Ирина Билык,Если Ты Хочешь,Любовь. Яд,Female/Female,2005,Pop/European Pop/Eastern European Pop,Urgent/Dark Pop,Fast Tempo/Fast/130s
431545946,Тимур Шаов,О вреде пьянства,Итоги пятилетки,Male/Male,2001,Pop/European Pop/Eastern European Pop,Empowering/Idealistic / Stirring,Medium Tempo/Medium/80s
418329158,Brainstorm,Thunder Without Rain,Four Shores,Male/Male Group,2006,Pop/European Pop/Eastern European Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
410753405,Алла Пугачёва,Опять Метель,Приглашение На Закат,Female/Female,2008,Pop/European Pop/Eastern European Pop,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
408130745,Riblja Čorba,Kada Padne Noc,Riblja Corba - Live Collection,Male/Male Group,2010,Pop/European Pop/Eastern European Pop,"",""
406477873,Riblja Čorba,Volim volim volim volim žene,Najbolje,Male/Male Group,0,Pop/European Pop/Eastern European Pop,Rowdy/Driving Dark Groove,Fast Tempo/Fast/140s
406183763,Riblja Čorba,Kad Sam Bio Mlad,Labudova Pesma,Male/Male Group,0,Pop/European Pop/Eastern European Pop,Sensual/Sensual Groove,Medium Tempo/Medium/60s
402675013,Alina Orlova,Amerika,Mutabor,Female/Female,2011,Pop/European Pop/Eastern European Pop,Sophisticated/Dark Playful,Medium Tempo/Medium/70s
402672749,Alina Orlova,Sirdis,Mutabor,Female/Female,2011,Pop/European Pop/Eastern European Pop,Melancholy/Wistful / Forlorn,Medium Tempo/Medium/70s
402672651,Alina Orlova,Lovesong,Дикая Собака Динго,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/70s
402672646,Alina Orlova,Lovesong,Дикая Собака Динго,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/70s
371625506,Самое большое простое число,Маленькие человечки,Самое большое простое число,Male/Male,2007,Pop/European Pop/Eastern European Pop,Cool/Cool Confidence,Medium Tempo/Medium/80s
362177484,Самое большое простое число,Маленькие человечки,Самое большое простое число,Male/Male,2007,Pop/European Pop/Eastern European Pop,Cool/Cool Confidence,Medium Tempo/Medium/80s
361223930,Сергей Трофимов,На Краю,Я Скучаю По Тебе,Male/Male,2011,Pop/European Pop/Eastern European Pop,Gritty/Sober / Determined,Medium Tempo/Medium Slow/50s
342881863,Стас Михайлов,Война,Все Для Тебя...,Male/Male,2007,Pop/European Pop/Eastern European Pop,Lively/Showy / Rousing,Fast Tempo/Fast/130s
285031978,Сергей Трофимов,Сегодня В Городе Моём (Посвящается А.С.),Следующая Остановка,Male/Male,2007,Pop/European Pop/Eastern European Pop,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
274422431,t.A.T.u.,Я Сошла С Ума (i've Lost My Mind),200 Km/H In The Wrong Lane [Bonus Tracks],Female/Female Duo,2003,Pop/European Pop/Eastern European Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/90s
